"api_key_label","API-Schlüssel"
"shared_secret_label","Geteiltes Geheimnis"
"checkout_title_label","Checkout-Titel"
"checkout_description_label","Checkout-Beschreibung"
"cart_threshold_label","Einkaufswagen-Schwelle"
"show_widget_label","Widget anzeigen"
"widget_minimum_description","Zeigen Sie das Widget nur an, wenn der Produktpreis über dem angegebenen Betrag liegt"
"show_widget_description","Zeigen Sie ein praktisches Widget mit den Finanzierungsoptionen auf Ihrer Produktseite an"
"api_key_description","Der API-Schlüssel sollte von Ihrem Finanzdienstleister bereitgestellt werden"
"shared_secret_description","Das optionale gemeinsame Geheimnis ist ein vereinbarter Code, mit dem Informationen zwischen Ihnen und Ihrem Finanzdienstleister überprüft werden"
"debug_label","Debuggen"
"limit_plans_label","Pläne begrenzen"
"limit_plans_description","Wählen Sie die Pläne, die Sie Ihren Kunden zur Verfügung stellen möchten"
"cart_threshold_description","Der Mindestbetrag, der für den Gesamtbetrag des Einkaufswagens erforderlich ist, damit die Finanzierung an der Kasse möglich ist"
"debug_description","Debugging aktiviert - Deaktivieren Sie dies in der Produktion"
"plugin_active_label","Aktiv"
"checkout_title_description","Der Name der Zahlungsoption an der Kasse"
"checkout_description_description","Die Beschreibung der Zahlungsoption an der Kasse"
"product_selection_label","Produktauswahl"
"refine_plans_label","Planliste verfeinern"
"show_all_plans_option","Zeige alle Pläne"
"select_specific_plans_option","Wählen Sie bestimmte Pläne aus"
"finance_all_products_option","Alle Produkte"
"finance_specific_products_option","Finanzieren Sie bestimmte Produkte"
"finance_threshold_products_option","Alle Produkte über einem definierten Preis"
"sort_order_label","Sortierreihenfolge"
"product_selection_description","Passen Sie an, welche Produkte finanziert werden können"
"plugin_active_description","Aktivieren oder deaktivieren Sie die Finanzierungsoption an der Kasse"
"widget_footnote_label","Fußnote"
"widget_button_text_label","Schaltflächentext"
"widget_button_text_description","Text, der auf der Widget-Schaltfläche angezeigt wird"
"widget_footnote_description","Kleingedrucktes am Ende des Widgets"
"lightbox_option","Leuchtkasten"
"calculator_option","Taschenrechner"
"widget_mode_label","Modus"
"widget_mode_description","Gibt an, ob das Widget sofort angezeigt wird (Taschenrechner) oder wenn auf eine Schaltfläche geklickt wird (Leuchtkasten)."
"product_price_threshold_label","Produktpreisschwelle"
"product_price_threshold_description","Der Mindestbetrag, den ein Produkt kosten muss, um finanziert werden zu können"
"plugin_title","Zahlen Sie mit Finanzen"
"yes","Ja"
"no","Nein"
"plugin_description","Mit dieser Erweiterung können Sie Finanzzahlungen in Ihrem Geschäft akzeptieren"
"cart_maximum_label","Einkaufswagen Maximum"
"cart_maximum_description","Der maximale Betrag, den ein Einkaufswagen insgesamt kann, damit die Finanzierung an der Kasse eine Option darstellt"
"limit_countries_label","Verfügbarkeit nach Ländern"
"limit_countries_description","Beschränken Sie die Verfügbarkeit dieser Zahlungsoption auf bestimmte Länder"
"availability_all_countries_option","Alle Länder"
"availability_specific_countries_option","Bestimmte Länder"
"refine_countries_label","Verfeinern Sie die verfügbaren Länder"
"empty_countries_error_msg","Bitte wählen Sie mindestens ein Land aus"
"order_status_signed_label","Auftragsstatus bei Unterzeichnung ändern?"
"automatic_fulfilment_label","Automatische Erfüllung aktivieren?"
"automatic_fulfilment_description","Benachrichtigen Sie den Kreditgeber automatisch darüber, dass die Bestellung abgeschlossen ist, wenn Sie sie in einen bestimmten Status ändern"
"automatic_fulfilment_status_label","Erfüllungsstatus"
"delay_order_creation_label","Auftragserstellung verzögern"
"set_invoice_status_label","Stellen Sie den Rechnungsstatus ein"
"choose_invoice_status_label","Wählen Sie Rechnungsstatus"
"delay_order_creation_description","Erhöhen Sie diese Verzögerung bei Geschäften, die auf langsameren Servern ausgeführt werden, damit die Bestellung erstellt werden kann"
"headless_support_label","Kopflose Unterstützung - experimentell"
"headless_support_description","Kopflose Speicherwahlen"
"custom_checkout_url_label","Benutzerdefinierte Checkout-URL"
"custom_redirect_url_label","Benutzerdefinierte Weiterleitungs-URL"
"custom_redirect_url_description","Headless Store-Weiterleitungs-URL"
"custom_checkout_url_description","Headless Store Checkout-URL"
"continue_label","Fortsetzen"
"automatic_refund_label","Automatische Rückerstattungen aktivieren?"
"automatic_refund_description","Benachrichtigen Sie den Kreditgeber automatisch darüber, dass die Bestellung erstattet wird, wenn für den Status einer Bestellung die Rückerstattung festgelegt ist"
"automatic_cancellation_label","Automatische Stornierung aktivieren?"
"automatic_cancellation_description","Benachrichtigen Sie den Kreditgeber automatisch darüber, dass die Bestellung storniert wird, wenn der Status einer Bestellung auf storniert gesetzt wird"
"use_store_language_label","Geschäftssprache verwenden?"
"use_store_language_description","Überschreiben Sie die Sprache des Finanzrechners mit der Sprache des Gebietsschemas"
"signed_option","Unterzeichnet"
"accepted_option","Akzeptiert"
